geo_code,label,elec_rs_15,elec_ns_15,elec_tot15,POP_JOIN,X_cor,Y_cor
E07000195,E92000001E07000195,186.2140737,296.7878222,483.0018959,123871,-2.317350702,52.99287316
E07000149,E92000001E07000149,269.4999959,289.9369419,559.4369378,124012,1.277777069,52.51415807
E07000045,E92000001E07000045,239.2963141,270.4182892,509.7146033,124220,-3.655258707,50.60581513
E07000205,E92000001E07000205,270.1079357,290.1946527,560.3025884,124298,1.413850978,52.16240547
E07000144,E92000001E07000144,237.2417213,268.2344545,505.4761758,124646,1.312025301,52.70079745
E07000072,E92000001E07000072,261.5038112,229.8703219,491.3741331,124659,0.150381005,51.70839415
E07000086,E92000001E07000086,205.9508932,336.3397086,542.2906018,125199,-1.325769717,50.93248818
E07000219,E92000001E07000219,211.142703,251.63878,462.781483,125252,-1.474382658,52.50076117
E06000006,E92000001E06000006,221.4057929,445.870963,667.2767559,125746,-2.717421283,53.34348966
W06000014,W92000004W06000014,196.9700549,344.8072577,541.7773126,126336,-3.398034737,51.44429201
E07000099,E92000001E07000099,235.4857754,335.7704285,571.2562039,127114,-0.190900932,51.95864714
E07000143,E92000001E07000143,270.3583536,362.9350135,633.2933671,130491,0.839047235,52.58773102
E07000197,E92000001E07000197,213.4983382,345.7811865,559.2795247,130869,-2.175071152,52.84785162
E07000207,E92000001E07000207,288.0185899,292.6144347,580.6330246,130875,-0.390598727,51.35661737
E06000027,E92000001E06000027,229.6267446,238.280543,467.9072876,130959,-3.529015943,50.44004277
E07000227,E92000001E07000227,275.7180184,277.7685849,553.4866033,131301,-0.364717523,50.99326851
E07000040,E92000001E07000040,259.1779966,273.4356063,532.6136029,132457,-3.223170496,50.76365214
E07000148,E92000001E07000148,207.3636516,429.5380601,636.9017117,132512,1.284609229,52.63143114
W06000023,W92000004W06000023,255.2197527,509.2500771,764.4698298,132976,-3.408497456,52.32525857
E07000202,E92000001E07000202,223.2604478,300.0431807,523.3036285,133384,1.161547857,52.05541276
E07000141,E92000001E07000141,260.8966023,420.7491286,681.6457309,133788,-0.516643103,52.85410168
E07000114,E92000001E07000114,243.0912681,314.8935217,557.9847898,134186,1.34244029,51.3539397
E07000179,E92000001E07000179,289.5180086,520.9844307,810.5024393,134257,-1.069998618,51.63338406
W06000006,W92000004W06000006,208.9499686,777.8593385,986.8093071,134844,-3.016397831,52.98995683
E06000003,E92000001E06000003,209.9963386,208.1153055,418.1116441,135177,-1.019986072,54.55345353
E07000113,E92000001E07000113,239.8343481,423.1539043,662.9882524,135835,0.814873631,51.34115061
E07000137,E92000001E07000137,284.9830215,431.1216776,716.1046991,136401,0.031612559,53.2498034
E07000209,E92000001E07000209,261.4968195,328.9284186,590.4252381,137183,-0.560089951,51.24724925
E07000222,E92000001E07000222,253.0510247,431.4261115,684.4771362,137648,-1.583214335,52.30960874
E07000097,E92000001E07000097,0,0,0,137687,-0.006591393,51.86463125
E07000211,E92000001E07000211,264.449751,304.3472911,568.7970421,137835,-0.190283227,51.25269696
E07000076,E92000001E07000076,275.3202127,286.9269238,562.2471365,138048,1.116794055,51.87097257
S12000021,S92000003S12000021,259.8718354,405.0562914,664.9281268,138146,-4.978308809,55.65057756
E06000046,E92000001E06000046,272.8623869,292.1786691,565.041056,138265,-1.294769884,50.67537655
E07000121,E92000001E07000121,242.1658592,347.2451257,589.4109849,138375,-2.713462409,54.06892456
E06000002,E92000001E06000002,202.9910078,392.6138769,595.6048847,138412,-1.220839814,54.54234946
W06000013,W92000004W06000013,201.6430079,424.3574498,626.0004577,139178,-3.599167737,51.55539316
W06000012,W92000004W06000012,204.1021404,1401.479773,1605.581914,139812,-3.742196433,51.67932987
E07000228,E92000001E07000228,267.1008207,250.9870031,518.0878238,139860,-0.125351229,51.02035765
E07000123,E92000001E07000123,232.8018501,397.5517891,630.3536392,140202,-2.696230539,53.81161036
E06000039,E92000001E06000039,199.3245788,787.0820577,986.4066365,140205,-0.584705237,51.50789561
E07000100,E92000001E07000100,0,0,0,140664,-0.340906835,51.7716188
E07000177,E92000001E07000177,261.2192147,448.688704,709.9079187,141868,-1.274382971,51.95847136
E06000009,E92000001E06000009,267.7470547,305.454496,573.2015507,142065,-3.034155373,53.81747922
E06000040,E92000001E06000040,289.7724366,456.6453621,746.4177987,144560,-0.698018155,51.48518074
E07000096,E92000001E07000096,262.2799136,354.4270659,616.7069795,144847,-0.539346156,51.77771586
W06000022,W92000004W06000022,215.861421,595.1068324,810.9682534,145736,-2.960807115,51.57304888
E08000011,E92000001E08000011,263.3723167,481.3474011,744.7197178,145893,-2.832719228,53.42488134
S12000024,S92000003S12000024,357.2106522,471.5002993,828.7109515,146652,-3.818516045,56.56598751
E07000067,E92000001E07000067,279.3636299,323.5952527,602.9588826,147084,0.591593045,51.94146988
S12000042,S92000003S12000042,302.2485469,417.2687407,719.5172876,147268,-2.968058862,56.47730535
E07000146,E92000001E07000146,341.7449725,799.0328173,1140.77779,147451,0.47386242,52.72538312
E06000008,E92000001E06000008,228.8629871,382.7272819,611.5902689,147489,-2.466162986,53.69242816
E06000029,E92000001E06000029,260.8464299,426.3780283,687.2244582,147645,-1.963750406,50.73976482
E08000023,E92000001E08000023,219.9291058,241.102551,461.0316568,148127,-1.442578721,54.96347802
E07000012,E92000001E07000012,283.5713106,445.3071021,728.8784127,148755,0.082893037,52.17240009
E07000065,E92000001E07000065,323.6690927,249.8975182,573.5666109,148915,0.200156165,50.96692586
E07000224,E92000001E07000224,288.3614469,262.001189,550.3626359,149518,-0.566221481,50.83969402
E07000106,E92000001E07000106,255.058756,398.7366489,653.7954049,151145,1.103360896,51.28332467
S12000006,S92000003S12000006,350.8325947,567.1246769,917.9572716,151324,-3.955496422,55.07056525
E07000178,E92000001E07000178,216.9358383,558.8568605,775.7926988,151906,-1.239502226,51.75413121
W06000005,W92000004W06000005,239.6736569,825.8093867,1065.483044,152506,-3.162000652,53.21762622
E06000037,E92000001E06000037,326.4782345,592.894892,919.3731265,153822,-1.303038109,51.44908913
E06000041,E92000001E06000041,283.9088672,400.8403644,684.7492316,154380,-0.882302936,51.42894973
E07000110,E92000001E07000110,285.8572513,393.5099315,679.3671828,155143,0.582260863,51.23445648
E06000038,E92000001E06000038,263.7357397,479.2336273,742.969367,155698,-0.982320006,51.45247969
S12000014,S92000003S12000014,291.9748951,363.5700867,655.5449818,155990,-3.789298846,55.99740663
E06000055,E92000001E06000055,283.531333,560.6988279,844.2301609,157479,-0.475503593,52.18880037
E06000034,E92000001E06000034,281.8854983,691.1666419,973.0521402,157705,0.374783412,51.50545982
E07000165,E92000001E07000165,303.6361553,575.0285932,878.6647485,157869,-1.594277947,54.06696411
E09000020,E92000001E09000020,373.5687962,1227.705719,1601.274516,158649,-0.190629301,51.50070866
E06000012,E92000001E06000012,235.3150618,572.4354575,807.7505193,159616,-0.131079508,53.54372057
E09000021,E92000001E09000021,269.0806925,351.4079718,620.4886643,160060,-0.285326328,51.38736924
E07000189,E92000001E07000189,331.5567636,481.7245832,813.2813468,161243,-2.708241292,50.98757623
E07000130,E92000001E07000130,266.8094315,449.3483915,716.157823,166100,-1.144635143,52.73665985
E06000020,E92000001E06000020,240.3582854,555.1091729,795.4674583,166641,-2.487406234,52.72988908
E06000013,E92000001E06000013,250.1251234,990.1098667,1240.23499,167446,-0.590900986,53.59365
E07000084,E92000001E07000084,312.7946705,541.3694151,854.1640856,167799,-1.19951329,51.27294087
E07000070,E92000001E07000070,322.460507,396.1182724,718.5787794,168310,0.482537579,51.72498478
E07000011,E92000001E07000011,305.3491947,522.1846901,827.5338848,169508,-0.21913779,52.37332351
E07000007,E92000001E07000007,325.7555593,366.1814581,691.9370174,171644,-0.813720082,51.64876956
E07000071,E92000001E07000071,318.0534036,421.2537978,739.3072014,173074,0.862598599,51.87209547
E06000033,E92000001E06000033,308.6258845,331.3283158,639.9542003,173658,0.730261887,51.53757268
E07000004,E92000001E07000004,342.0802963,424.5538501,766.6341464,174137,-0.883910755,51.89180924
E07000066,E92000001E07000066,319.1388897,444.4394166,763.5783063,174497,0.46794925,51.58962872
S12000038,S92000003S12000038,303.8383034,367.1866179,671.0249213,174908,-4.54149952,55.84788293
S12000040,S92000003S12000040,298.0336756,503.8183759,801.8520515,175118,-3.572397101,55.88508281
E08000013,E92000001E08000013,307.7216,492.8268646,800.5484646,175308,-2.722264129,53.45923358
E06000022,E92000001E06000022,309.3145318,372.5511257,681.8656575,176016,-2.473868634,51.35547755
E07000091,E92000001E07000091,336.4169826,456.2540224,792.671005,176462,-1.623343878,50.85776689
W06000018,W92000004W06000018,250.1643903,361.0951661,611.2595564,178806,-3.203729564,51.65289023
E09000013,E92000001E09000013,286.8759069,711.9880253,998.8639322,182493,-0.219203651,51.49450623
E06000019,E92000001E06000019,348.834445,656.3520907,1005.186536,183477,-2.743795161,52.10328207
E06000028,E92000001E06000028,325.2897992,414.0409786,739.3307778,183491,-1.856688449,50.74127771
E06000031,E92000001E06000031,294.4307919,596.1762078,890.6069997,183631,-0.251452744,52.60814304
W06000010,W92000004W06000010,303.5673011,617.9105336,921.4778347,183777,-4.161530803,51.89936997
E08000002,E92000001E08000002,327.2286506,353.1130917,680.3417423,185060,-2.311116221,53.58762774
E09000002,E92000001E09000002,267.8615049,400.2011736,668.0626785,185911,0.134829049,51.54344122
E09000027,E92000001E09000027,344.239148,374.1915782,718.4307262,186990,-0.310752693,51.44223034
E09000029,E92000001E09000029,332.877028,395.3657603,728.2427883,190146,-0.175993674,51.36154995
E06000004,E92000001E06000004,291.2578991,1155.900305,1447.158204,191610,-1.327341257,54.5626485
E06000014,E92000001E06000014,318.6291847,447.0762356,765.7054203,198051,-1.059856411,53.95853532
E09000024,E92000001E09000024,320.1692625,489.9402509,810.1095134,199693,-0.195673452,51.4094218
E08000020,E92000001E08000020,0,0,0,200214,-1.681354638,54.9352669
E08000022,E92000001E08000022,312.5624356,465.9239577,778.4863933,200801,-1.515539174,55.02803084
E06000007,E92000001E06000007,372.4816791,525.8581557,898.3398348,202228,-2.562204417,53.39856663
E06000024,E92000001E06000024,345.3699751,390.7621749,736.13215,202566,-2.799610968,51.38870507
E06000032,E92000001E06000032,291.2191214,388.9743154,680.1934368,203201,-0.424012102,51.89376488
E08000033,E92000001E08000033,333.5846267,513.0484462,846.6330729,203826,-1.971985096,53.72096233
E06000044,E92000001E06000044,317.4495441,659.8778589,977.327403,205056,-1.076958495,50.81988261
